scene_name,variant,minADE,minFDE,delta_minADE,delta_minFDE,AD,FD,traj_npz
scene-0029,10_person_conf0.60_imagen,0.7675782442092896,0.7903982996940613,-0.0682957172393798,-0.2586099505424499,0.0995840281248092,0.2430905997753143,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0029/trajectories/10_person_conf0.60_imagen.npz
scene-0029,11_person_conf0.54_imagen,0.8196439146995544,0.9833135008811952,-0.0162300467491149,-0.0656947493553161,0.0187824442982673,0.0501866862177848,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0029/trajectories/11_person_conf0.54_imagen.npz
scene-0029,12_person_conf0.46_imagen,0.7876744270324707,0.91338312625885,-0.0481995344161987,-0.1356251239776611,0.0553295984864234,0.1408877223730087,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0029/trajectories/12_person_conf0.46_imagen.npz
scene-0029,13_person_conf0.36_imagen,0.8261013031005859,1.1204625368118286,-0.0097726583480834,0.0714542865753173,0.0142917688935995,0.0431809425354003,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0029/trajectories/13_person_conf0.36_imagen.npz
scene-0029,14_traffic light_conf0.34_imagen,0.9796783924102784,1.6223582029342651,0.1438044309616089,0.5733499526977539,0.1454398185014724,0.5201382637023926,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0029/trajectories/14_traffic light_conf0.34_imagen.npz
scene-0029,16_traffic light_conf0.28_imagen,1.0648770332336426,2.2643725872039795,0.2290030717849731,1.2153643369674685,0.2674595415592193,0.9131990075111388,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0029/trajectories/16_traffic light_conf0.28_imagen.npz
scene-0029,19_handbag_conf0.24_imagen,0.8367115259170532,1.181390643119812,0.0008375644683837,0.1323823928833007,0.0253819841891527,0.0025644456036388,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0029/trajectories/19_handbag_conf0.24_imagen.npz
scene-0731,01_car_conf0.94_imagen,6.849791526794434,11.211024284362791,5.191793918609619,9.49028778076172,3.4026358127593994,8.082456588745117,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/01_car_conf0.94_imagen.npz
scene-0731,02_person_conf0.94_imagen,1.0939748287200928,0.4498435854911804,-0.5640227794647217,-1.2708929181098938,0.7705639004707336,2.710414409637451,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/02_person_conf0.94_imagen.npz
scene-0731,03_person_conf0.93_imagen,8.751327514648438,14.94562530517578,7.093329906463623,13.224888801574709,4.82557487487793,10.92133617401123,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/03_person_conf0.93_imagen.npz
scene-0731,04_car_conf0.87_imagen,1.5903916358947754,2.053335428237915,-0.067605972290039,0.3325989246368408,0.0675985217094421,0.1679972112178802,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/04_car_conf0.87_imagen.npz
scene-0731,05_traffic light_conf0.82_imagen,6.244648456573486,9.834792137145996,4.586650848388672,8.114055633544922,3.11076021194458,7.345235347747803,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/05_traffic light_conf0.82_imagen.npz
scene-0731,06_car_conf0.81_imagen,7.08811092376709,11.929527282714844,5.430113315582275,10.20879077911377,3.4756882190704346,8.309922218322754,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/06_car_conf0.81_imagen.npz
scene-0731,07_car_conf0.67_imagen,1.6510226726531982,0.8457281589508057,-0.0069749355316162,-0.8750083446502686,0.1615620702505111,0.3535565435886383,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/07_car_conf0.67_imagen.npz
scene-0731,08_traffic light_conf0.61_imagen,1.531151533126831,0.0161059089004993,-0.1268460750579834,-1.7046305947005749,0.2118247002363205,0.7558155059814453,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/08_traffic light_conf0.61_imagen.npz
scene-0731,09_car_conf0.52_imagen,1.889415144920349,1.6129473447799685,0.2314175367355346,-0.1077891588211059,0.0931902453303337,0.3392170369625091,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/09_car_conf0.52_imagen.npz
scene-0731,10_car_conf0.50_imagen,7.122452735900879,11.968025207519531,5.4644551277160645,10.247288703918455,3.596747875213623,8.514580726623535,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/10_car_conf0.50_imagen.npz
scene-0731,11_traffic light_conf0.46_imagen,6.972141742706299,11.329649925231934,5.314144134521484,9.60891342163086,3.4471583366394043,7.977525234222412,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/11_traffic light_conf0.46_imagen.npz
scene-0731,12_car_conf0.44_imagen,7.09718132019043,11.426432609558104,5.439183712005615,9.705696105957031,3.515669345855713,8.052111625671387,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/12_car_conf0.44_imagen.npz
scene-0731,13_car_conf0.38_imagen,7.200402736663818,12.119600296020508,5.542405128479004,10.398863792419434,3.5866122245788574,8.45450210571289,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/13_car_conf0.38_imagen.npz
scene-0731,14_bus_conf0.35_imagen,7.227753639221191,12.268157958984377,5.569756031036377,10.5474214553833,3.543480396270752,8.496977806091309,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_fin/scene-0731/trajectories/14_bus_conf0.35_imagen.npz
scene-0029,combined_scene-0029_14_16_imagen,0.5632856488227844,1.932372093200684,-0.0107509493827819,-0.2493703365325927,0.0942097306251525,0.3127315044403076,/home/kalpanapanda/scratch/alpamayo/comparison_results_v2_comb_fin/scene-0029/trajectories/combined_scene-0029_14_16_imagen.npz
