scene_name,variant,AD,FD,minADE,minFDE,delta_minADE,delta_minFDE,traj_npz
scene-0029,01_person_conf0.90_imagen,0.9365196774403254,2.9776603877544403,0.9975260396798452,2.7160771588484445,0.45641138901313144,1.8884810308615367,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/01_person_conf0.90_imagen.npz
scene-0029,02_person_conf0.90_imagen,0.43637247880299884,0.8060374855995178,0.8102882107098898,2.2789641618728638,0.26917356004317594,1.4513680338859558,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/02_person_conf0.90_imagen.npz
scene-0029,03_person_conf0.88_imagen,1.275604362289111,3.365844072153171,0.5613844891389211,2.0322208205858865,0.02026983847220737,1.2046246925989788,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/03_person_conf0.88_imagen.npz
scene-0029,04_car_conf0.88_imagen,1.0315821766853333,3.039694627126058,0.5507520586252213,1.6017453074455261,0.009637407958507538,0.7741491794586183,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/04_car_conf0.88_imagen.npz
scene-0029,05_person_conf0.86_imagen,1.1416510169704754,3.768797775109609,1.0791915332277615,3.210402399301529,0.538076882561048,2.382806271314621,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/05_person_conf0.86_imagen.npz
scene-0029,06_person_conf0.77_imagen,0.01643215399235483,0.046343002468347494,0.5466312567392985,0.8621760954459509,0.0055166060725847675,0.03457996745904283,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/06_person_conf0.77_imagen.npz
scene-0029,07_traffic light_conf0.75_imagen,1.8879107733567555,5.75958122809728,0.5092043280601501,2.19208554426829,-0.03191032260656359,1.3644894162813823,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/07_traffic light_conf0.75_imagen.npz
scene-0029,08_person_conf0.72_imagen,0.6650406767924627,1.6873456353011231,0.36990155031283695,0.8249242802460989,-0.1712131003538768,-0.0026718477408091412,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/08_person_conf0.72_imagen.npz
scene-0029,09_traffic light_conf0.64_imagen,0.6111730908354124,1.5378172894318898,0.3632020329435666,0.7798998951911926,-0.17791261772314704,-0.04769623279571533,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/09_traffic light_conf0.64_imagen.npz
scene-0029,10_person_conf0.60_imagen,0.6424816201130549,1.6099374790986378,0.3501531208554904,0.7307460606098175,-0.19096152981122327,-0.09685006737709044,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/10_person_conf0.60_imagen.npz
scene-0029,11_person_conf0.54_imagen,0.03240010763208063,0.08374216407537453,0.5086056018869082,0.780225026110808,-0.032509048779805434,-0.04737110187609983,/home/kalpanapanda/scratch/alpamayo/comparison_results_v4_fin/scene-0029/trajectories/11_person_conf0.54_imagen.npz
